时间,今值,预测值
2014年6月4日17:00,-0.1%,-0.1%
2014年5月5日17:00,-0.2%,-0.2%
2014年4月2日17:00,-0.2%,-0.1%
2014年3月4日18:00,-0.3%,-0.1%
2014年2月4日18:00,0.2%,0.1%
2014年1月7日18:00,-0.1%,-0.1%
2013年12月3日18:00,-0.5%,-0.2%
2013年11月5日18:00,0.1%,0.2%
2013年10月4日17:00,0.0%,0.1%
2013年9月3日17:00,0.3%,0.1%
2013年8月2日17:00,0.0%,0.1%
2013年7月2日17:00,-0.3%,-0.2%
2013年6月4日17:00,-0.6%,-0.3%
2013年5月3日17:00,-0.2%,-0.2%
2013年4月4日17:00,0.2%,0.1%
2013年3月4日18:00,0.6%,0.5%
2013年2月4日18:00,-0.2%,-0.2%
2013年1月7日18:00,-0.2%,0.1%
2012年12月4日18:00,0.1%,-0.1%
2012年11月6日18:00,0.2%,0.2%
2012年10月2日17:00,0.9%,0.5%
2012年9月4日17:00,0.4%,0.2%
2012年8月2日17:00,-0.5%,-0.4%
2012年7月3日17:00,-0.5%,-0.3%
2012年6月4日17:00,0.0%,0.2%
2012年5月3日17:00,0.5%,0.6%
2012年4月3日17:00,0.6%,0.5%
2012年3月2日18:00,0.7%,0.5%
2012年2月2日18:00,-0.2%,-0.1%
2012年1月5日18:00,0.2%,0.1%
2011年12月2日18:00,0.1%,0.2%
2011年11月4日18:00,0.3%,0.2%
2011年10月4日17:00,-0.1%,-0.2%
2011年9月2日17:00,0.5%,0.5%
2011年8月2日17:00,0.0%,0.1%
2011年7月4日17:00,-0.2%,-0.1%
2011年6月6日17:00,0.9%,0.8%
2011年5月3日17:00,0.7%,0.7%
2011年4月4日17:00,0.8%,0.9%
2011年3月2日18:00,1.5%,1.0%
2011年2月2日18:00,0.8%,0.8%
2011年1月5日18:00,0.3%,0.3%
2010年12月2日18:00,0.4%,0.3%
2010年11月4日18:00,0.3%,0.3%
2010年10月4日17:00,0.1%,0.2%
2010年9月2日17:00,0.2%,0.2%
2010年8月3日17:00,0.3%,0.4%
2010年7月2日17:00,0.3%,0.3%
2010年6月2日17:00,0.9%,0.7%
2010年5月4日17:00,0.6%,0.9%
2010年4月7日17:00,0.1%,0.2%
2010年3月2日18:00,0.7%,0.7%
2010年2月2日18:00,0.1%,0.0%
2010年1月6日18:00,0.1%,0.2%
2009年12月2日18:00,0.2%,0.1%
2009年11月4日18:00,-0.4%,-0.3%
2009年10月2日17:00,0.4%,0.5%
2009年9月2日17:00,-0.8%,-0.5%
2009年8月4日17:00,0.3%,0.2%
2009年7月2日17:00,-0.2%,0.1%
2009年6月3日17:00,-1.0%,-0.9%
2009年5月5日17:00,-0.7%,-0.5%
2009年4月6日17:00,-0.5%,-0.5%
2009年3月12日18:00,-0.8%,-0.1%
2009年2月3日18:00,-1.3%,-1.1%
2009年1月7日18:00,-1.9%,-1.1%
2008年12月2日18:00,-0.8%,-0.3%
2008年11月4日18:00,-0.2%,-0.1%
2008年10月2日17:00,-0.5%,-0.5%
2008年9月2日17:00,1.1%,1.3%
2008年8月4日17:00,0.9%,0.8%
2008年7月2日17:00,1.2%,0.9%
2008年6月3日18:00,0.8%,0.8%
2008年5月6日17:00,0.7%,0.6%
2008年4月2日17:00,0.6%,0.5%
2008年3月4日18:00,0.8%,0.8%
2008年2月1日 (一月)17:00,0.80%, 
2008年1月1日 (十二月)17:00,0.10%, 
2007年12月1日 (十一月)17:00,0.90%, 
2007年11月1日 (十月)17:00,0.60%, 
2007年10月1日 (九月)17:00,0.40%, 
2007年9月1日 (八月)17:00,0.10%, 
2007年8月1日 (七月)17:00,0.30%, 
2007年7月1日 (六月)17:00,0.10%, 
2007年6月1日 (五月)17:00,0.50%, 
2007年5月1日 (四月)17:00,0.40%, 
2007年4月1日 (三月)17:00,0.30%, 
2007年3月1日 (二月)17:00,0.30%, 
2007年2月1日 (一月)17:00,0.30%, 
2007年1月1日 (十二月)17:00,-0.10%, 
2006年12月1日 (十一月)17:00,-0.10%, 
2006年11月1日 (十月)17:00,-0.10%, 
2006年10月1日 (九月)17:00,-0.60%, 
2006年9月1日 (八月)17:00,0.10%, 
2006年8月1日 (七月)17:00,0.70%, 
2006年7月1日 (六月)17:00,0.20%, 
2006年6月1日 (五月)17:00,0.30%, 
2006年5月1日 (四月)17:00,0.70%, 
2006年4月1日 (三月)17:00,0.50%, 
2006年3月1日 (二月)17:00,0.50%, 
2006年2月1日 (一月)17:00,1.40%, 
2006年1月1日 (十二月)17:00,0.20%, 
2005年12月1日 (十一月)17:00,-0.30%, 
2005年11月1日 (十月)17:00,0.60%, 
2005年10月1日 (九月)17:00,0.50%, 
2005年9月1日 (八月)17:00,0.40%, 
2005年8月1日 (七月)17:00,0.50%, 
2005年7月1日 (六月)17:00,0.60%, 
2005年6月1日 (五月)17:00,-0.10%, 
2005年5月1日 (四月)17:00,0.50%, 
2005年4月1日 (三月)17:00,0.70%, 
2005年3月1日 (二月)17:00,0.20%, 
2005年2月1日 (一月)17:00,0.70%, 
2005年1月1日 (十二月)17:00,-0.20%, 
2004年12月1日 (十一月)17:00,-0.20%, 
2004年11月1日 (十月)17:00,0.80%, 
2004年10月1日 (九月)17:00,0.20%, 
2004年9月1日 (八月)17:00,0.50%, 
2004年8月1日 (七月)17:00,0.50%, 
2004年7月1日 (六月)17:00,0.00%, 
2004年6月1日 (五月)17:00,0.60%, 
2004年5月1日 (四月)17:00,0.50%, 
2004年4月1日 (三月)17:00,0.60%, 
2004年3月1日 (二月)17:00,0.20%, 
2004年2月1日 (一月)17:00,0.20%, 
2004年1月1日 (十二月)17:00,-0.10%, 
2003年12月1日 (十一月)17:00,0.10%, 
2003年11月1日 (十月)17:00,0.00%, 
2003年10月1日 (九月)17:00,0.00%, 
2003年9月1日 (八月)17:00,0.20%, 
2003年8月1日 (七月)17:00,0.00%, 
2003年7月1日 (六月)17:00,0.00%, 
2003年6月1日 (五月)17:00,-0.40%, 
2003年5月1日 (四月)17:00,-0.60%, 
2003年4月1日 (三月)17:00,0.20%, 
2003年3月1日 (二月)17:00,0.60%, 
2003年2月1日 (一月)17:00,0.90%, 
2003年1月1日 (十二月)17:00,0.30%, 
2002年12月1日 (十一月)17:00,-0.40%, 
2002年11月1日 (十月)17:00,0.20%, 
2002年10月1日 (九月)17:00,0.30%, 
2002年9月1日 (八月)17:00,0.10%, 
2002年8月1日 (七月)17:00,0.10%, 
2002年7月1日 (六月)17:00,-0.10%, 
2002年6月1日 (五月)17:00,0.00%, 
2002年5月1日 (四月)17:00,0.20%, 
2002年4月1日 (三月)17:00,0.40%, 
2002年3月1日 (二月)17:00,0.00%, 
2002年2月1日 (一月)17:00,0.40%, 
2002年1月1日 (十二月)17:00,-0.20%, 
2001年12月1日 (十一月)17:00,-0.40%, 
2001年11月1日 (十月)17:00,-0.70%, 
2001年10月1日 (九月)17:00,0.10%, 
2001年9月1日 (八月)17:00,-0.10%, 
2001年8月1日 (七月)17:00,-0.40%, 
2001年7月1日 (六月)17:00,0.00%, 
2001年6月1日 (五月)17:00,0.20%, 
2001年5月1日 (四月)17:00,0.20%, 
2001年4月1日 (三月)17:00,0.20%, 
2001年3月1日 (二月)17:00,0.20%, 
2001年2月1日 (一月)17:00,0.40%, 
2001年1月1日 (十二月)17:00,-0.40%, 
2000年12月1日 (十一月)17:00,0.20%, 
2000年11月1日 (十月)17:00,0.50%, 
2000年10月1日 (九月)17:00,0.90%, 
2000年9月1日 (八月)17:00,0.30%, 
2000年8月1日 (七月)17:00,0.50%, 
2000年7月1日 (六月)17:00,0.30%, 
2000年6月1日 (五月)17:00,0.60%, 
2000年5月1日 (四月)17:00,0.20%, 
2000年4月1日 (三月)17:00,0.40%, 
2000年3月1日 (二月)17:00,0.40%, 
2000年2月1日 (一月)17:00,0.60%, 
2000年1月1日 (十二月)17:00,0.40%, 
1999年12月1日 (十一月)17:00,0.30%, 
1999年11月1日 (十月)17:00,0.30%, 
1999年10月1日 (九月)17:00,0.30%, 
1999年9月1日 (八月)17:00,0.30%, 
1999年8月1日 (七月)17:00,0.50%, 
1999年7月1日 (六月)17:00,0.10%, 
1999年6月1日 (五月)17:00,0.10%, 
1999年5月1日 (四月)17:00,0.50%, 
1999年4月1日 (三月)17:00,0.10%, 
1999年3月1日 (二月)17:00,-0.10%, 
1999年2月1日 (一月)17:00,-0.30%, 
1999年1月1日 (十二月)17:00,-0.20%, 
1998年12月1日 (十一月)17:00,-0.30%, 
1998年11月1日 (十月)17:00,-0.30%, 
1998年10月1日 (九月)17:00,-0.20%, 
1998年9月1日 (八月)17:00,-0.20%, 
1998年8月1日 (七月)17:00,-0.20%, 
1998年7月1日 (六月)17:00,-0.20%, 
1998年6月1日 (五月)17:00,-0.10%, 
1998年5月1日 (四月)17:00,0.00%, 
1998年4月1日 (三月)17:00,-0.10%, 
1998年3月1日 (二月)17:00,-0.10%, 
1998年2月1日 (一月)17:00,0.00%, 
1998年1月1日 (十二月)17:00,-0.20%, 
1997年12月1日 (十一月)17:00,0.00%, 
1997年11月1日 (十月)17:00,0.00%, 
1997年10月1日 (九月)17:00,0.10%, 
1997年9月1日 (八月)17:00,0.30%, 
1997年8月1日 (七月)17:00,0.20%, 
1997年7月1日 (六月)17:00,0.00%, 
1997年6月1日 (五月)17:00,0.20%, 
1997年5月1日 (四月)17:00,0.20%, 
1997年4月1日 (三月)17:00,0.00%, 
1997年3月1日 (二月)17:00,0.00%, 
1997年2月1日 (一月)17:00,0.30%, 
1997年1月1日 (十二月)17:00,0.00%, 
1996年12月1日 (十一月)17:00,0.00%, 
1996年11月1日 (十月)17:00,0.20%, 
1996年10月1日 (九月)17:00,0.20%, 
1996年9月1日 (八月)17:00,0.10%, 
1996年8月1日 (七月)17:00,0.00%, 
1996年7月1日 (六月)17:00,-0.20%, 
1996年6月1日 (五月)17:00,-0.10%, 
1996年5月1日 (四月)17:00,0.10%, 
1996年4月1日 (三月)17:00,0.00%, 
1996年3月1日 (二月)17:00,0.10%, 
1996年2月1日 (一月)17:00,-0.40%, 
1996年1月1日 (十二月)17:00,0.00%, 
1995年12月1日 (十一月)17:00,-0.10%, 
1995年11月1日 (十月)17:00,-0.10%, 
1995年10月1日 (九月)17:00,0.10%, 
1995年9月1日 (八月)17:00,0.10%, 
1995年8月1日 (七月)17:00,0.10%, 
1995年7月1日 (六月)17:00,0.10%, 
1995年6月1日 (五月)17:00,0.30%, 
1995年5月1日 (四月)17:00,0.40%, 
1995年4月1日 (三月)17:00,0.40%, 
1995年3月1日 (二月)17:00,0.50%, 
1995年2月1日 (一月)17:00,1.10%, 
1995年1月1日 (十二月)17:00,0.30%, 
1994年12月1日 (十一月)17:00,0.50%, 
1994年11月1日 (十月)17:00,0.30%, 
1994年10月1日 (九月)17:00,0.10%, 
1994年9月1日 (八月)17:00,0.30%, 
1994年8月1日 (七月)17:00,0.10%, 
1994年7月1日 (六月)17:00,0.10%, 
1994年6月1日 (五月)17:00,0.20%, 
1994年5月1日 (四月)17:00,0.10%, 
1994年4月1日 (三月)17:00,0.20%, 
1994年3月1日 (二月)17:00,0.20%, 
1994年2月1日 (一月)17:00,0.60%, 
1994年1月1日 (十二月)17:00,-0.10%, 
1993年12月1日 (十一月)17:00,0.10%, 
1993年11月1日 (十月)17:00,0.00%, 
1993年10月1日 (九月)17:00,0.00%, 
1993年9月1日 (八月)17:00,0.00%, 
1993年8月1日 (七月)17:00,0.20%, 
1993年7月1日 (六月)17:00,0.00%, 
1993年6月1日 (五月)17:00,0.00%, 
1993年5月1日 (四月)17:00,0.30%, 
1993年4月1日 (三月)17:00,0.20%, 
1993年3月1日 (二月)17:00,0.10%, 
1993年2月1日 (一月)17:00,0.50%, 
1993年1月1日 (十二月)17:00,-0.20%, 
1992年12月1日 (十一月)17:00,0.10%, 
1992年11月1日 (十月)17:00,0.00%, 
1992年10月1日 (九月)17:00,0.10%, 
1992年9月1日 (八月)17:00,-0.10%, 
1992年8月1日 (七月)17:00,-0.10%, 
1992年7月1日 (六月)17:00,0.20%, 
1992年6月1日 (五月)17:00,0.20%, 
1992年5月1日 (四月)17:00,0.30%, 
1992年4月1日 (三月)17:00,0.20%, 
1992年3月1日 (二月)17:00,0.30%, 
1992年2月1日 (一月)17:00,0.30%, 
1992年1月1日 (十二月)17:00,-0.30%, 
1991年12月1日 (十一月)17:00,0.00%, 
1991年11月1日 (十月)17:00,0.10%, 
1991年10月1日 (九月)17:00,0.30%, 
1991年9月1日 (八月)17:00,0.00%, 
1991年8月1日 (七月)17:00,0.40%, 
1991年7月1日 (六月)17:00,0.10%, 
1991年6月1日 (五月)17:00,0.00%, 
1991年5月1日 (四月)17:00,0.50%, 
1991年4月1日 (三月)17:00,-0.20%, 
1991年3月1日 (二月)17:00,-0.10%, 
1991年2月1日 (一月)17:00,1.00%, 
1991年1月1日 (十二月)17:00,-0.20%, 
1990年12月1日 (十一月)17:00,-0.20%, 
1990年11月1日 (十月)17:00,0.50%, 
1990年10月1日 (九月)17:00,0.60%, 
1990年9月1日 (八月)17:00,0.70%, 
1990年8月1日 (七月)17:00,0.00%, 
1990年7月1日 (六月)17:00,-0.10%, 
1990年6月1日 (五月)17:00,0.10%, 
1990年5月1日 (四月)17:00,0.30%, 
1990年4月1日 (三月)17:00,0.10%, 
1990年3月1日 (二月)17:00,0.10%, 
1990年2月1日 (一月)17:00,0.40%, 
1990年1月1日 (十二月)17:00,0.10%, 
1989年12月1日 (十一月)17:00,-0.10%, 
1989年11月1日 (十月)17:00,0.50%, 
1989年10月1日 (九月)17:00,0.20%, 
1989年9月1日 (八月)17:00,0.20%, 
1989年8月1日 (七月)17:00,0.20%, 
1989年7月1日 (六月)17:00,0.00%, 
1989年6月1日 (五月)17:00,0.20%, 
1989年5月1日 (四月)17:00,0.50%, 
1989年4月1日 (三月)17:00,0.40%, 
1989年3月1日 (二月)17:00,0.40%, 
1989年2月1日 (一月)17:00,1.00%, 
1989年1月1日 (十二月)17:00,0.30%, 
1988年12月1日 (十一月)17:00,0.40%, 
1988年11月1日 (十月)17:00,0.20%, 
1988年10月1日 (九月)17:00,0.20%, 
1988年9月1日 (八月)17:00,0.30%, 
1988年8月1日 (七月)17:00,0.20%, 
1988年7月1日 (六月)17:00,0.40%, 
1988年6月1日 (五月)17:00,0.20%, 
1988年5月1日 (四月)17:00,0.40%, 
1988年4月1日 (三月)17:00,0.10%, 
1988年3月1日 (二月)17:00,0.20%, 
1988年2月1日 (一月)17:00,0.00%, 
1988年1月1日 (十二月)17:00,0.00%, 
1987年12月1日 (十一月)17:00,0.00%, 
1987年11月1日 (十月)17:00,0.30%, 
1987年10月1日 (九月)17:00,0.00%, 
1987年9月1日 (八月)17:00,0.20%, 
1987年8月1日 (七月)17:00,0.30%, 
1987年7月1日 (六月)17:00,0.10%, 
1987年6月1日 (五月)17:00,0.10%, 
1987年5月1日 (四月)17:00,0.10%, 
1987年4月1日 (三月)17:00,0.10%, 
1987年3月1日 (二月)17:00,-0.20%, 
1987年2月1日 (一月)17:00,0.20%, 
1987年1月1日 (十二月)17:00,0.00%, 
1986年12月1日 (十一月)17:00,-0.30%, 
1986年11月1日 (十月)17:00,-0.90%, 
1986年10月1日 (九月)17:00,0.10%, 
1986年9月1日 (八月)17:00,-0.10%, 
1986年8月1日 (七月)17:00,-0.70%, 
1986年7月1日 (六月)17:00,-0.10%, 
1986年6月1日 (五月)17:00,-0.40%, 
1986年5月1日 (四月)17:00,-0.60%, 
1986年4月1日 (三月)17:00,-0.50%, 
1986年3月1日 (二月)17:00,-0.60%, 
1986年2月1日 (一月)17:00,0.00%, 
1986年1月1日 (十二月)17:00,0.00%, 
1985年12月1日 (十一月)17:00,-0.10%, 
1985年11月1日 (十月)17:00,-0.10%, 
1985年10月1日 (九月)17:00,0.20%, 
1985年9月1日 (八月)17:00,-0.10%, 
1985年8月1日 (七月)17:00,0.00%, 
1985年7月1日 (六月)17:00,-0.20%, 
1985年6月1日 (五月)17:00,0.20%, 
1985年5月1日 (四月)17:00,0.40%, 
1985年4月1日 (三月)17:00,0.30%, 
1985年3月1日 (二月)17:00,0.60%, 
1985年2月1日 (一月)17:00,1.20%, 
1985年1月1日 (十二月)17:00,0.10%, 
1984年12月1日 (十一月)17:00,0.20%, 
1984年11月1日 (十月)17:00,0.60%, 
1984年10月1日 (九月)17:00,0.60%, 
1984年9月1日 (八月)17:00,0.10%, 
1984年8月1日 (七月)17:00,0.30%, 
1984年7月1日 (六月)17:00,0.20%, 
1984年6月1日 (五月)17:00,0.30%, 
1984年5月1日 (四月)17:00,0.60%, 
1984年4月1日 (三月)17:00,0.20%, 
1984年3月1日 (二月)17:00,0.50%, 
1984年2月1日 (一月)17:00,1.30%, 
1984年1月1日 (十二月)17:00,0.40%, 
1983年12月1日 (十一月)17:00,0.40%, 
1983年11月1日 (十月)17:00,0.40%, 
1983年10月1日 (九月)17:00,0.50%, 
1983年9月1日 (八月)17:00,0.60%, 
1983年8月1日 (七月)17:00,0.40%, 
1983年7月1日 (六月)17:00,0.40%, 
1983年6月1日 (五月)17:00,0.30%, 
1983年5月1日 (四月)17:00,0.30%, 
1983年4月1日 (三月)17:00,0.00%, 
1983年3月1日 (二月)17:00,0.20%, 
1983年2月1日 (一月)17:00,0.80%, 
1983年1月1日 (十二月)17:00,0.20%, 
1982年12月1日 (十一月)17:00,0.20%, 
1982年11月1日 (十月)17:00,0.60%, 
1982年10月1日 (九月)17:00,0.40%, 
1982年9月1日 (八月)17:00,0.30%, 
1982年8月1日 (七月)17:00,0.50%, 
1982年7月1日 (六月)17:00,0.60%, 
1982年6月1日 (五月)17:00,0.50%, 
1982年5月1日 (四月)17:00,0.60%, 
1982年4月1日 (三月)17:00,0.40%, 
1982年3月1日 (二月)17:00,0.30%, 
1982年2月1日 (一月)17:00,1.90%, 
1982年1月1日 (十二月)17:00,0.20%, 
1981年12月1日 (十一月)17:00,0.50%, 
1981年11月1日 (十月)17:00,0.80%, 
1981年10月1日 (九月)17:00,0.40%, 
1981年9月1日 (八月)17:00,0.60%, 
1981年8月1日 (七月)17:00,1.30%, 
1981年7月1日 (六月)17:00,0.60%, 
1981年6月1日 (五月)17:00,0.70%, 
1981年5月1日 (四月)17:00,1.50%, 
1981年4月1日 (三月)17:00,0.70%, 
1981年3月1日 (二月)17:00,1.00%, 
